NO_OF_FRAMES	6337
NO_OF_CAMERAS	6
NO_OF_MARKERS	23
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-03-11, 14:40:58.462	18661.47475990
DATA_INCLUDED	3D
MARKER_NAMES	right_big_toe	right_ankle	right_heel	left_big_toe	left_ankle	left_heel	right_knee	left_knee	right_hip_front	left_hip_front	right_hip_back	left_hip_back	right_shoulder	left_shoulder	right_ear	left_ear	nose	right_elbow	left_elbow	right_wrist	left_wrist	right_index_finger	left_index_finger
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed	Mixed
Frame	Time	right_big_toe X	right_big_toe Y	right_big_toe Z	right_ankle X	right_ankle Y	right_ankle Z	right_heel X	right_heel Y	right_heel Z	left_big_toe X	left_big_toe Y	left_big_toe Z	left_ankle X	left_ankle Y	left_ankle Z	left_heel X	left_heel Y	left_heel Z	right_knee X	right_knee Y	right_knee Z	left_knee X	left_knee Y	left_knee Z	right_hip_front X	right_hip_front Y	right_hip_front Z	left_hip_front X	left_hip_front Y	left_hip_front Z	right_hip_back X	right_hip_back Y	right_hip_back Z	left_hip_back X	left_hip_back Y	left_hip_back Z	right_shoulder X	right_shoulder Y	right_shoulder Z	left_shoulder X	left_shoulder Y	left_shoulder Z	right_ear X	right_ear Y	right_ear Z	left_ear X	left_ear Y	left_ear Z	nose X	nose Y	nose Z	right_elbow X	right_elbow Y	right_elbow Z	left_elbow X	left_elbow Y	left_elbow Z	right_wrist X	right_wrist Y	right_wrist Z	left_wrist X	left_wrist Y	left_wrist Z	right_index_finger X	right_index_finger Y	right_index_finger Z	left_index_finger X	left_index_finger Y	left_index_finger Z	
1	0.00000	-1661.441	365.620	4.180	-1864.590	350.394	58.892	-1921.875	401.603	13.713	-1641.997	501.083	3.947	-1842.708	535.467	57.256	-1909.994	483.373	7.465	-1792.173	310.490	464.374	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.673	269.182	1476.001	-1816.681	660.118	1476.301	Nan	Nan	Nan	-1749.583	551.896	1644.395	-1633.064	447.339	1599.096	-1840.208	188.636	1112.273	-1873.253	714.560	1101.106	Nan	Nan	Nan	-1687.393	711.278	896.082	Nan	Nan	Nan	-1639.533	645.861	727.550
2	0.01000	-1661.465	365.643	4.182	-1864.590	350.394	58.893	-1921.850	401.669	13.647	-1641.934	501.180	3.987	-1842.641	535.482	57.236	-1909.994	483.373	7.465	-1792.189	310.499	464.333	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.657	269.058	1475.904	-1816.644	659.996	1476.316	Nan	Nan	Nan	-1749.533	551.702	1644.378	-1632.958	446.878	1599.087	-1840.265	188.553	1112.223	-1873.296	714.475	1101.105	Nan	Nan	Nan	-1687.354	710.842	896.015	Nan	Nan	Nan	-1639.568	645.499	727.499
3	0.02000	-1661.457	365.623	4.154	-1864.590	350.394	58.892	-1921.869	401.608	13.655	-1641.997	501.083	3.947	-1842.613	535.416	57.297	-1909.915	483.306	7.463	-1792.152	310.415	464.352	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.569	268.948	1475.835	-1816.627	659.923	1476.348	Nan	Nan	Nan	-1749.434	551.600	1644.392	-1632.903	446.806	1599.154	-1840.206	188.571	1112.139	-1873.282	714.399	1101.127	Nan	Nan	Nan	-1687.419	710.882	896.027	Nan	Nan	Nan	-1639.591	645.610	727.545
4	0.03000	-1661.417	365.656	4.202	-1864.586	350.400	58.903	-1921.881	401.635	13.688	-1641.955	501.077	3.942	-1842.651	535.358	57.256	-1909.994	483.373	7.465	-1792.159	310.355	464.320	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.539	268.816	1475.812	-1816.592	659.794	1476.392	Nan	Nan	Nan	-1749.316	551.425	1644.504	-1632.885	446.891	1599.154	-1840.257	188.483	1112.059	-1873.304	714.262	1101.082	Nan	Nan	Nan	-1687.407	710.618	896.011	Nan	Nan	Nan	-1639.668	645.469	727.587
5	0.04000	-1661.416	365.602	4.173	-1864.651	350.307	58.865	-1921.837	401.617	13.643	-1641.919	501.098	3.939	-1842.593	535.355	57.274	-1909.958	483.328	7.487	-1792.168	310.363	464.358	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.503	268.627	1475.787	-1816.499	659.689	1476.371	Nan	Nan	Nan	-1749.279	551.301	1644.523	-1632.779	446.587	1599.181	-1840.249	188.419	1111.996	-1873.358	714.154	1101.078	Nan	Nan	Nan	-1687.450	710.601	896.088	Nan	Nan	Nan	-1639.693	645.246	727.581
6	0.05000	-1661.421	365.633	4.145	-1864.600	350.334	58.864	-1921.881	401.579	13.658	-1641.955	501.077	3.942	-1842.584	535.374	57.234	-1909.973	483.311	7.444	-1792.287	310.369	464.183	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.473	268.494	1475.764	-1816.544	659.593	1476.406	Nan	Nan	Nan	-1749.167	551.117	1644.575	-1632.725	446.201	1599.176	-1840.161	188.361	1111.923	-1873.344	714.078	1101.101	Nan	Nan	Nan	-1687.458	710.463	896.120	Nan	Nan	Nan	-1639.745	645.132	727.621
7	0.06000	-1661.453	365.647	4.212	-1864.585	350.330	58.833	-1921.912	401.574	13.610	-1641.898	501.018	3.981	-1842.598	535.333	57.318	-1909.980	483.290	7.488	-1792.334	310.270	464.182	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.450	268.366	1475.705	-1816.446	659.485	1476.455	Nan	Nan	Nan	-1749.111	550.932	1644.616	-1632.687	446.045	1599.242	-1840.247	188.355	1111.864	-1873.382	713.990	1101.168	Nan	Nan	Nan	-1687.446	710.199	896.104	Nan	Nan	Nan	-1639.767	644.910	727.615
8	0.07000	-1661.465	365.645	4.184	-1864.585	350.330	58.833	-1921.854	401.512	13.571	-1641.898	501.018	3.981	-1842.591	535.353	57.277	-1909.972	483.311	7.446	-1792.324	310.201	464.193	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.422	268.237	1475.713	-1816.417	659.350	1476.466	Nan	Nan	Nan	-1748.996	550.759	1644.660	-1632.633	445.817	1599.273	-1840.228	188.285	1111.837	-1873.348	713.863	1101.147	Nan	Nan	Nan	-1687.494	710.078	896.141	Nan	Nan	Nan	-1639.775	644.780	727.650
9	0.08000	-1661.468	365.617	4.126	-1864.651	350.307	58.865	-1921.869	401.542	13.602	-1641.898	501.018	3.981	-1842.571	535.293	57.252	-1910.001	483.352	7.509	-1792.406	310.188	464.176	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.326	268.124	1475.681	-1816.400	659.285	1476.459	Nan	Nan	Nan	-1748.943	550.571	1644.668	-1632.685	445.893	1599.277	-1840.158	188.297	1111.792	-1873.334	713.787	1101.169	Nan	Nan	Nan	-1687.535	709.959	896.179	Nan	Nan	Nan	-1639.771	644.584	727.643
10	0.09000	-1661.457	365.623	4.154	-1864.607	350.335	58.782	-1921.898	401.520	13.609	-1641.898	501.018	3.981	-1842.584	535.374	57.234	-1909.973	483.311	7.444	-1792.410	310.130	464.151	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	Nan	-1778.305	267.999	1475.653	-1816.364	659.156	1476.508	Nan	Nan	Nan	-1748.910	550.436	1644.693	-1632.631	445.821	1599.344	-1840.214	188.215	1111.744	-1873.369	713.712	1101.204	Nan	Nan	Nan	-1687.514	709.800	896.204	Nan	Nan	Nan	-1639.829	644.529	727.646
